candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,design_strategy,design_rationale,risk_level,expected_phase_direction,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
ng_pi_wrap_lowleak_01,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,66,100,136,0.75,0.75,0.25,0.25,40,40,70,130,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_02,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,68,100,138,0.75,0.75,0.25,0.25,44,44,75,140,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_03,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,70,100,140,0.75,0.75,0.25,0.25,48,48,80,150,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_04,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,72,100,142,0.75,0.75,0.25,0.25,52,52,85,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_05,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,74,100,144,0.75,0.75,0.25,0.25,56,56,90,170,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_06,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,76,100,146,0.75,0.75,0.25,0.25,60,50,95,165,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_07,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,78,100,148,0.75,0.75,0.25,0.25,54,46,100,155,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_08,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,80,100,150,0.75,0.75,0.25,0.25,50,42,105,145,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_09,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,82,100,152,0.75,0.75,0.25,0.25,46,38,110,135,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_pi_wrap_lowleak_10,pi_wrap_leakage_control,09-P33/P35,-180,pl_pi_wrap_04|pl_neg120_aspect_03,pi-wrap leakage control,Follow pi-wrap evidence while widening p1 and trimming p2 width for lower leakage.,high_risk,retain -180 evidence while reducing leakage,116,84,100,154,0.75,0.75,0.25,0.25,42,34,115,125,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_01,expanded_internal_separation_negative_push,09-P33/P35,-60,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,58,90,146,0.75,0.75,0.25,0.25,-60,-60,45,135,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_02,expanded_internal_separation_negative_push,09-P33/P35,-120,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,62,90,140,0.75,0.75,0.25,0.25,60,-60,55,145,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_03,expanded_internal_separation_negative_push,09-P33/P35,-180,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,70,90,138,0.75,0.75,0.25,0.25,60,60,65,155,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_bridge_release_04,expanded_internal_separation_negative_push,09-P33/P35,-60,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,60,90,150,0.75,0.75,0.25,0.25,-56,60,75,165,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_05,expanded_internal_separation_negative_push,09-P33/P35,-120,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,64,90,142,0.75,0.75,0.25,0.25,56,-56,85,125,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_06,expanded_internal_separation_negative_push,09-P33/P35,-180,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,72,90,136,0.75,0.75,0.25,0.25,-52,52,95,115,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_07,expanded_internal_separation_negative_push,09-P33/P35,0,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,60,90,144,0.75,0.75,0.25,0.25,-60,56,25,95,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_08,expanded_internal_separation_negative_push,09-P33/P35,-60,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,62,90,148,0.75,0.75,0.25,0.25,-48,-60,105,175,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_09,expanded_internal_separation_negative_push,09-P33/P35,-120,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,66,90,146,0.75,0.75,0.25,0.25,48,-52,115,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_expanded_dxdy_10,expanded_internal_separation_negative_push,09-P33/P35,-180,pl_selected_v5|focus_neg60_geom_04,expanded internal separation,Expand dx/dy beyond earlier local neighborhoods while retaining safe gaps.,moderate_to_high_risk,test whether larger internal separation unlocks negative phase,120,74,90,140,0.75,0.75,0.25,0.25,52,48,125,95,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_01,height_period_future_knob_scout,09-P33/P35,0,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,-44,44,30,90,330,330,290,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_02,height_period_future_knob_scout,09-P33/P35,-60,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,-52,-52,70,140,330,330,310,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_03,height_period_future_knob_scout,09-P33/P35,-120,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,48,-48,85,155,330,330,320,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_04,height_period_future_knob_scout,09-P33/P35,-180,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,52,52,95,165,330,330,330,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_05,height_period_future_knob_scout,09-P33/P35,0,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,-48,48,35,95,350,350,290,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_06,height_period_future_knob_scout,09-P33/P35,-60,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,-56,-48,75,145,350,350,310,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_07,height_period_future_knob_scout,09-P33/P35,-120,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,52,-44,90,160,350,350,320,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_optional_period_height_08,height_period_future_knob_scout,09-P33/P35,-180,dataset_v5_bottleneck,optional height/period scout,Small future-knob scaffold row; not a broad sweep and not prioritized before geometry/readiness review.,future_knob_high_risk,test optional period/height only after rotation/dxdy evidence,118,62,88,144,0.75,0.75,0.25,0.25,56,44,100,170,350,350,330,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
