candidate_id,candidate_family,phase_deg,target_bin_deg,phase_error_to_target_deg,target_conversion,opposite_spin_leakage,conversion_to_leakage_ratio,PD,overall_early_pass,target_bin_status,phase_region,diagnosis_class,usable_phase_region,notes
doe_p1w_p2w_02,p1w_p2w_combo,105.293,,,0.9541,0.2038,4.6819,0.648,False,,other,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
doe_p1w_dx_01,p1w_internal_dx_combo,100.8199,,,0.9472,0.0915,10.3506,0.8238,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
doe_lhs_like_01,lhs_like_mixed_combo,59.3589,,,0.9188,0.6715,1.3684,0.1555,False,,high_leakage_phase_evidence,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
nhood_p1w_dx_05,p1w_dx_neighborhood,100.9514,,,0.9463,0.0869,10.886,0.8317,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
nhood_p1w_dx_02,p1w_dx_neighborhood,98.3086,,,0.9289,0.2153,4.315,0.6237,False,,other,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
fine_p1w_dx_08,p1w_dx_fine_leakage_control,99.15568276063478,,,0.9371572161476376,0.12853745775102376,7.290926960424362,0.758772449746472,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
fine_p1w_dx_03,p1w_dx_fine_leakage_control,98.55022672300163,,,0.9341050748265248,0.147484033031872,6.333601377847639,0.727282695506685,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
aggr_lhs_retention_dy_05,lhs_like_retention_high_dy,72.24132809604521,,,0.8570222822237621,0.1028870531101224,8.329738837977422,0.785631727240723,True,,60_90_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
aggr_p1w_leakctrl_04,lhs_like_leakage_control_p1w,81.13742146297955,,,0.8718902349705875,0.09911912635679705,8.796387407857752,0.7958431086149413,True,,60_90_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
next_zero_rot_anchor_03,zero_bin_probe,20.788972844777305,0,20.788972844777305,0.5125041298645276,0.45007533270235894,1.1387074399016555,0.06485573356783089,False,evidence_only,target_bin_evidence_only,phase_near_target_high_leakage,not_usable,phase evidence exists but leakage/ratio fails
next_rot_anchor_04,rotation_assisted_anchor_probe,157.83382648796396,-60,142.16617351203604,0.4526296212631516,0.544645601389285,0.8310534779106825,-0.09226738821536919,False,open_gap,target_bin_open_gap,negative_target_pulled_positive,not_usable,negative-bin design returned to positive phase
focus_zero_leakred_07,zero_bin_leakage_reduction,30.534894730576525,0,30.534894730576525,0.5327046775079014,0.469513841744978,1.1345878015607294,0.0630509560030551,False,evidence_only,target_bin_evidence_only,phase_near_target_high_leakage,not_usable,phase evidence exists but leakage/ratio fails
focus_neg60_geom_04,negative_phase_redesign,83.13394588891055,-60,143.13394588891055,0.8929435782636037,0.08113267089413602,11.00596798321521,0.8334161807872716,True,open_gap,usable_but_not_target,early_pass_but_not_target,usable_60_120_span,optically good but phase is not close enough to the intended bin
pl_zero_bridge_04,zero_bridge_from_focus_anchor,56.62387968893222,0,56.62387968893222,0.7598631958513322,0.23236942858441817,3.270065259780975,0.5316230834138824,False,open_gap,target_bin_open_gap,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
pl_neg60_focus_push_05,neg60_phase_lowering_from_focus_anchor,91.18359149700592,-60,151.18359149700592,0.9059463222149173,0.0907984852875001,9.97754884717948,0.8178099657916927,True,open_gap,usable_but_not_target,early_pass_but_not_target,usable_60_120_span,optically good but phase is not close enough to the intended bin
pl_neg120_aspect_03,aspect_ratio_inversion_probe,-172.61632817840064,-120,52.616328178400636,0.46486458281536375,0.5644311449581002,0.8235983909960333,-0.09673270708897098,False,open_gap,target_bin_open_gap,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
pl_pi_wrap_04,pi_wrap_from_focus_anchor,163.39711779606267,-180,16.60288220393727,0.6155191003486136,0.4178280655459571,1.4731396741955796,0.19131134368702088,False,evidence_only,target_bin_evidence_only,phase_wrap_evidence_high_leakage,not_usable,phase is near pi-wrap target but leakage/ratio fails
