candidate_id,family,target_bin_deg,anchor_candidate,helper_role,p1_length_nm,p1_width_nm,p1_rotation_deg,p1_frac_x,p1_frac_y,p2_length_nm,p2_width_nm,p2_rotation_deg,p2_frac_x,p2_frac_y,period_x_nm,period_y_nm,height_nm,internal_dx_nm,internal_dy_nm,p3_helper_length_nm,p3_helper_width_nm,p3_helper_rotation_deg,p3_helper_frac_x,p3_helper_frac_y,p3_helper_x_nm,p3_helper_y_nm,expected_phase_direction,design_rationale,risk_level,requires_fdtd,status,notes
wh2_medium_delay_03,helper_v2_medium_phase_delay,-120,ng_neg120_swap_asym_05,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,54,32,55,0.18,0.18,-108.8,-108.8,medium negative-bin phase delay,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_04,helper_v2_medium_phase_delay,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,54,32,75,0.82,0.82,108.79999999999998,108.79999999999998,medium pi-wrap phase delay,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_05,helper_v2_medium_phase_delay,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,56,34,95,0.2,0.7,-102.0,67.99999999999999,stronger zero bridge delay,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_06,helper_v2_medium_phase_delay,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,56,34,115,0.8,0.3,102.00000000000001,-68.0,stronger -60 detour delay,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_07,helper_v2_medium_phase_delay,-120,ng_neg120_swap_asym_05,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,58,34,135,0.24,0.76,-88.4,88.4,stronger -120 detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_08,helper_v2_medium_phase_delay,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,58,34,155,0.76,0.24,88.4,-88.4,stronger pi-wrap detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_01,helper_v2_low_leakage_trim,0,aggr_lhs_retention_dy_05,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,32,18,0,0.12,0.88,-129.2,129.2,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_02,helper_v2_low_leakage_trim,-60,focus_neg60_geom_04,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,32,18,30,0.88,0.12,129.2,-129.2,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_03,helper_v2_low_leakage_trim,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,34,20,60,0.24,0.86,-88.4,122.39999999999999,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_04,helper_v2_low_leakage_trim,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,34,20,90,0.86,0.24,122.39999999999999,-88.4,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_05,helper_v2_low_leakage_trim,-120,ng_neg120_swap_asym_05,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,36,20,120,0.14,0.14,-122.39999999999999,-122.39999999999999,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_06,helper_v2_low_leakage_trim,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,36,20,150,0.86,0.86,122.39999999999999,122.39999999999999,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_07,helper_v2_low_leakage_trim,0,aggr_p1w_leakctrl_04,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,34,18,45,0.1,0.7,-136.0,67.99999999999999,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_lowleak_trim_08,helper_v2_low_leakage_trim,-60,pl_neg60_focus_push_05,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,34,18,135,0.9,0.3,136.0,-68.0,weak perturbation leakage trim,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_01,helper_v2_zero_bridge,0,next_zero_rot_anchor_03,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,42,24,10,0.14,0.72,-122.39999999999999,74.8,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_02,helper_v2_zero_bridge,0,focus_zero_leakred_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,46,26,30,0.18,0.68,-108.8,61.20000000000002,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_03,helper_v2_zero_bridge,0,pl_zero_bridge_04,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,50,28,50,0.22,0.64,-95.2,47.6,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_04,helper_v2_zero_bridge,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,54,30,70,0.26,0.6,-81.6,33.99999999999999,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_05,helper_v2_zero_bridge,0,aggr_lhs_retention_dy_05,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,48,26,90,0.74,0.14,81.6,-122.39999999999999,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_06,helper_v2_zero_bridge,0,wh_zero_aux_phase_01,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,44,24,110,0.7,0.18,67.99999999999999,-108.8,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_07,helper_v2_zero_bridge,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,52,30,130,0.3,0.86,-68.0,122.39999999999999,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_bridge_08,helper_v2_zero_bridge,0,pl_zero_bridge_04,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,40,22,150,0.86,0.3,122.39999999999999,-68.0,zero-bin detour/material bridge,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_01,helper_v2_neg60_detour,-60,focus_neg60_geom_04,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,42,24,15,0.12,0.68,-129.2,61.20000000000002,-60 far detour avoiding core center,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_02,helper_v2_neg60_detour,-60,pl_neg60_focus_push_05,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,44,24,35,0.88,0.32,129.2,-61.199999999999996,-60 off-diagonal detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_03,helper_v2_neg60_detour,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,46,26,55,0.18,0.62,-108.8,40.8,-60 helper farther from core,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_04,helper_v2_neg60_detour,-60,ng_neg60_bridge_release_04,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,48,26,75,0.82,0.38,108.79999999999998,-40.8,-60 bridge detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_05,helper_v2_neg60_detour,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,50,28,95,0.1,0.46,-136.0,-13.599999999999993,selected -60 detour helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_06,helper_v2_neg60_detour,-60,focus_neg60_geom_04,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,52,28,115,0.78,0.42,95.2,-27.200000000000006,-60 medium helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_07,helper_v2_neg60_detour,-60,pl_neg60_focus_push_05,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,54,30,135,0.28,0.54,-74.8,13.600000000000012,-60 material phase helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_neg60_detour_08,helper_v2_neg60_detour,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,56,30,155,0.72,0.46,74.8,-13.599999999999993,-60 stronger helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_01,helper_v2_pi_wrap_probe,-180,pl_pi_wrap_04,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,42,24,20,0.15,0.15,-118.99999999999999,-118.99999999999999,pi-wrap weak detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_02,helper_v2_pi_wrap_probe,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,46,26,40,0.85,0.85,118.99999999999999,118.99999999999999,pi-wrap leakage-control helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_03,helper_v2_pi_wrap_probe,-120,pl_neg120_aspect_03,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,48,28,60,0.15,0.85,-118.99999999999999,118.99999999999999,-120/pi bridge helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_04,helper_v2_pi_wrap_probe,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,50,28,80,0.85,0.15,118.99999999999999,-118.99999999999999,selected pi-wrap detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_05,helper_v2_pi_wrap_probe,-120,ng_neg120_swap_asym_05,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,52,30,100,0.2,0.8,-102.0,102.00000000000001,-120 medium phase helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_06,helper_v2_pi_wrap_probe,-180,pl_pi_wrap_04,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,54,30,120,0.8,0.2,102.00000000000001,-102.0,pi-wrap medium helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_07,helper_v2_pi_wrap_probe,-120,ng_neg120_swap_asym_05,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,56,32,140,0.24,0.76,-88.4,88.4,-120 stronger helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_pi_wrap_08,helper_v2_pi_wrap_probe,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,58,32,160,0.76,0.24,88.4,-88.4,pi-wrap stronger helper,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
