candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,source_reference,design_rationale,risk_level,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
next_rot_anchor_11,rotation_assisted_anchor_probe,09-P19/P20/P21,-180,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,30,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_12,rotation_assisted_anchor_probe,09-P19/P20/P21,-180,fine_p1w_dx_03,fine_p1w_dx_03,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,130,56,85,150,0.75,0.75,0.25,0.25,-33,0,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_zero_rot_anchor_03,zero_bin_probe,09-P19/P20/P21,0,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Push beyond 60-90 anchor toward 0 deg using high dy and rotation-assisted hypothesis.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,36,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_zero_probe_02,zero_bin_probe,09-P19/P20/P21,0,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,More lhs-like geometry while retaining some p1 width leakage control.,high_risk,120,56,75,135,0.75,0.75,0.25,0.25,-40,36,37.5,82.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_zero_probe_03,zero_bin_probe,09-P19/P20/P21,0,doe_lhs_like_01,doe_lhs_like_01,Near-lhs geometry with p2 width trim for leakage-control attempt.,high_risk,110,56,70,135,0.75,0.75,0.25,0.25,-40,38,37.5,82.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_zero_probe_04,zero_bin_probe,09-P19/P20/P21,0,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Slightly relaxed p1/p2 widths to reduce leakage risk.,moderate_to_high_risk,115,57,75,140,0.75,0.75,0.25,0.25,-38,34,37.5,82.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_zero_probe_05,zero_bin_probe,09-P19/P20/P21,0,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,0 deg probe from leakage-control anchor with stronger dy.,moderate_to_high_risk,120,58,80,135,0.75,0.75,0.25,0.25,-38,36,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_zero_probe_06,zero_bin_probe,09-P19/P20/P21,0,fine_p1w_dx_03,fine_p1w_dx_03,Rotation-assisted extrapolation from fine p1w_dx anchor.,moderate_to_high_risk,125,56,80,140,0.75,0.75,0.25,0.25,-38,30,7.5,52.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg60_rot_anchor_02,negative_bin_rotation_probe,09-P19/P20/P21,-60,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,High-risk -60 deg rotation-assisted probe from 72 deg usable anchor.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,32,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg60_probe_02,negative_bin_rotation_probe,09-P19/P20/P21,-60,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Rotation-assisted -60 deg probe from 81 deg usable anchor.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,30,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg60_probe_03,negative_bin_rotation_probe,09-P19/P20/P21,-60,fine_p1w_dx_08,fine_p1w_dx_08,Uses low-leakage fine anchor plus small dy and global rotation.,moderate_to_high_risk,130,57,85,150,0.75,0.75,0.25,0.25,-34,10,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg60_probe_04,negative_bin_rotation_probe,09-P19/P20/P21,-60,baseline,baseline,Baseline rotation-assisted control row.,moderate_to_high_risk,130,70,85,150,0.75,0.75,0.25,0.25,0,0,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg120_rot_anchor_02,negative_bin_rotation_probe,09-P19/P20/P21,-120,fine_p1w_dx_03,fine_p1w_dx_03,Rotation-assisted -120 deg probe from low-leakage p1w_dx anchor.,moderate_to_high_risk,130,56,85,150,0.75,0.75,0.25,0.25,-33,0,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg120_probe_02,negative_bin_rotation_probe,09-P19/P20/P21,-120,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Rotation-assisted -120 deg probe from 60-90 usable anchor.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,30,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg120_probe_03,negative_bin_rotation_probe,09-P19/P20/P21,-120,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Retains phase-shift anchor but applies global rotation hypothesis.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,32,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_neg120_probe_04,negative_bin_rotation_probe,09-P19/P20/P21,-120,baseline,baseline,Baseline global-rotation hypothesis control.,moderate_to_high_risk,130,70,85,150,0.75,0.75,0.25,0.25,0,0,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_pi_probe_01,pi_bin_probe,09-P19/P20/P21,-180,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Pi-bin phase wrapping hypothesis from aggressive 60-90 anchor.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,36,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_pi_probe_02,pi_bin_probe,09-P19/P20/P21,-180,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Pi-bin probe with leakage-control geometry.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,34,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_pi_mixed_bridge_03,pi_bin_probe,09-P19/P20/P21,-180,fine_p1w_dx_03|aggr_lhs_retention_dy_05,fine_p1w_dx_03|aggr_lhs_retention_dy_05,Mixed bridge for phase wrapping/turning trend near -180 deg.,moderate_to_high_risk,125,56,80,140,0.75,0.75,0.25,0.25,-38,28,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_pi_probe_04,pi_bin_probe,09-P19/P20/P21,-180,baseline,baseline,Baseline pi-bin rotation-assisted control.,moderate_to_high_risk,130,70,85,150,0.75,0.75,0.25,0.25,0,0,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_pi_probe_05,pi_bin_probe,09-P19/P20/P21,-180,p1W_p5,p1W_p5,Uses known 120 deg-side early-pass geometry with pi-bin rotation hypothesis.,moderate_to_high_risk,130,75,85,150,0.75,0.75,0.25,0.25,0,0,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_pi_probe_06,pi_bin_probe,09-P19/P20/P21,-180,p2W_p10,p2W_p10,Uses low-leakage p2W anchor with pi-bin rotation hypothesis.,moderate_to_high_risk,130,70,85,160,0.75,0.75,0.25,0.25,0,0,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_mixed_bridge_01,mixed_safe_bridge,09-P19/P20/P21,0,aggr_lhs_retention_dy_05|p1W_p5,aggr_lhs_retention_dy_05|p1W_p5,Bridge from 60-90 anchor to 120-side early-pass candidate; tests phase turning.,moderate_risk,120,60,80,145,0.75,0.75,0.25,0.25,-30,24,37.5,82.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_mixed_bridge_02,mixed_safe_bridge,09-P19/P20/P21,-60,aggr_p1w_leakctrl_04|p2W_p10,aggr_p1w_leakctrl_04|p2W_p10,Mixed bridge for -60 bin without fully lhs-like dimensions.,moderate_risk,125,60,80,150,0.75,0.75,0.25,0.25,-30,24,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_mixed_bridge_03,mixed_safe_bridge,09-P19/P20/P21,-120,fine_p1w_dx_08|p1W_p5,fine_p1w_dx_08|p1W_p5,Low-leakage bridge with rotation-assisted -120 hypothesis.,moderate_risk,130,60,85,150,0.75,0.75,0.25,0.25,-25,10,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_mixed_bridge_04,mixed_safe_bridge,09-P19/P20/P21,-180,aggr_lhs_retention_dy_05|baseline,aggr_lhs_retention_dy_05|baseline,"Pi-bin mixed bridge, less aggressive than lhs-like retention.",moderate_to_high_risk,125,60,80,145,0.75,0.75,0.25,0.25,-30,20,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_mixed_bridge_05,mixed_safe_bridge,09-P19/P20/P21,0,aggr_p1w_leakctrl_04|baseline,aggr_p1w_leakctrl_04|baseline,0-bin bridge from leakage-control anchor.,moderate_risk,125,62,80,145,0.75,0.75,0.25,0.25,-28,20,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_mixed_bridge_06,mixed_safe_bridge,09-P19/P20/P21,-60,aggr_lhs_retention_dy_05|fine_p1w_dx_03,aggr_lhs_retention_dy_05|fine_p1w_dx_03,Aggressive bridge for -60 target while retaining some leakage-control geometry.,moderate_to_high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,26,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
