rank,candidate_id,family,target_bins_deg,period_x_nm,period_y_nm,height_nm,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar1_shape,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,pillar2_shape,helper_length_nm,helper_width_nm,helper_rotation_deg,anchor_candidate_id,source_failed_anchor,selection_status,selected_family_slot,rationale
11,cpk_pos60_recover_m45weak_notch_p1_01,rot60_notch_recovery,60,340,340,300,130,70,22.5,notched_rectangle,85,150,67.5,rectangle,55,105,135,cpk_branch_core_offset_m45_weak_01,cpk_branch_core_offset_m45_weak_01,selected,rot60_recovery,Secondary 60deg phase-hit recovery: mild notch on old m45 weak-helper phase-hit failed anchor to try reducing leakage.
12,cpk_pos60_recover_m40counter_notch_p1_01,rot60_notch_recovery,60,340,340,300,130,70,30,notched_rectangle,85,150,70,rectangle,55,105,135,cpk_60rec_counter_m40_relax_01,cpk_60rec_counter_m40_relax_01,selected,rot60_recovery,Secondary 60deg phase-hit recovery: mild notch on m40 counter-relax phase-hit failed anchor.
13,cpk_pos120_hswap_h360_01,pos120_iso_retard_height,60,340,340,360,130,70,67.5,rectangle,85,150,112.5,rectangle,70,120,135,cpk_branch_helper_swap_br_01,,backup,,Backup higher height from helper-swap anchor if h320/h340 show useful +60 trend.
14,cpk_pos120_rotrel_h340_01,pos120_iso_retard_height,60,340,340,340,130,70,60,rectangle,85,150,105,rectangle,80,110,135,cpk_rot_release_02,,backup,,Backup h340 from phase-closest +120 rot-release anchor.
15,cpk_pos120_hswap_aspect_reduce5_01,pos120_iso_retard_size,60,340,340,300,125,75,67.5,rectangle,90,145,112.5,rectangle,70,120,135,cpk_branch_helper_swap_br_01,,backup,,Backup aspect compensation around helper-swap anchor.
16,cpk_pos120_hswap_aspect_expand5_01,pos120_iso_retard_size,60,340,340,300,135,65,67.5,rectangle,80,155,112.5,rectangle,70,120,135,cpk_branch_helper_swap_br_01,,backup,,Backup opposite aspect compensation around helper-swap anchor.
17,cpk_pos120_intrel_scale98_01,pos120_iso_retard_size,60,340,340,300,127.4,68.6,52.5,rectangle,83.3,147.0,127.5,rectangle,68.6,117.6,135,cpk_branch_internal_release_01,,backup,,Backup small common scale on internal-release anchor.
18,cpk_pos120_period430_h340_01,pos120_mode_order_hwp,60,430,430,340,130,70,67.5,rectangle,85,150,112.5,rectangle,90,120,135,cpk_period_phase_04,,backup,,Backup period430 h340 mode-order point.
19,cpk_pos120_period390_h340_01,pos120_mode_order_hwp,60,390,390,340,130,70,67.5,rectangle,85,150,112.5,rectangle,85,115,135,cpk_period_phase_04,,backup,,Backup period390 h340 mode-order point.
20,cpk_pos120_period370_h320_01,pos120_mode_order_hwp,60,370,370,320,130,70,67.5,rectangle,85,150,112.5,rectangle,80,115,135,cpk_period_phase_04,,backup,,Backup lower intermediate-period mode-order scout.
21,cpk_pos60_recover_helper_suppress_notch_p1_01,rot60_notch_recovery,60,340,340,300,130,70,27.5,notched_rectangle,85,150,72.5,rectangle,40,90,135,cpk_60sel_helper_suppress_m40_40x90_01,cpk_60sel_helper_suppress_m40_40x90_01,backup,,Backup notch recovery around prior helper-suppressed 60deg phase-hit failed anchor.
22,cpk_pos60_recover_m40counter_relangle75_01,rot60_notch_recovery,60,340,340,300,130,70,30,rectangle,85,150,75,rectangle,55,105,135,cpk_60rec_counter_m40_relax_01,cpk_60rec_counter_m40_relax_01,backup,,Backup small relative-angle restoration around m40 counter branch; secondary only.
