candidate_id,candidate_family,source,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,predicted_phase_bin,intended_role,requires_fdtd,status,notes
baseline,baseline,ml_ready_dataset_v0_anchor,130,70,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,validated reference anchor; include in every pool,true,not_evaluated,existing real FDTD row reused as anchor; no new FDTD run in 09-P2
doe_p1w_p2w_06,p1w_p2w_combo,deterministic_mixed_doe_v0,130,85,85,140,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_07,p1w_p2w_combo,deterministic_mixed_doe_v0,130,60,85,170,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_08,p1w_p2w_combo,deterministic_mixed_doe_v0,130,90,85,130,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p1w_01,p1l_p1w_combo,deterministic_mixed_doe_v0,115,60,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p1W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p1w_02,p1l_p1w_combo,deterministic_mixed_doe_v0,120,65,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p1W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p1w_03,p1l_p1w_combo,deterministic_mixed_doe_v0,125,80,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p1W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p1w_04,p1l_p1w_combo,deterministic_mixed_doe_v0,135,60,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p1W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p1w_05,p1l_p1w_combo,deterministic_mixed_doe_v0,145,75,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p1W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p1w_06,p1l_p1w_combo,deterministic_mixed_doe_v0,150,85,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p1W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_dx_01,p1w_internal_dx_combo,deterministic_mixed_doe_v0,130,60,85,150,0.75,0.75,0.25,0.25,-30,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + internal_dx perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_dx_02,p1w_internal_dx_combo,deterministic_mixed_doe_v0,130,65,85,150,0.75,0.75,0.25,0.25,20,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + internal_dx perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_dx_03,p1w_internal_dx_combo,deterministic_mixed_doe_v0,130,75,85,150,0.75,0.75,0.25,0.25,-20,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + internal_dx perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_dx_04,p1w_internal_dx_combo,deterministic_mixed_doe_v0,130,80,85,150,0.75,0.75,0.25,0.25,30,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + internal_dx perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_dx_05,p1w_internal_dx_combo,deterministic_mixed_doe_v0,130,85,85,150,0.75,0.75,0.25,0.25,-10,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + internal_dx perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_dx_06,p1w_internal_dx_combo,deterministic_mixed_doe_v0,130,90,85,150,0.75,0.75,0.25,0.25,40,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + internal_dx perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p2w_dy_01,p2w_internal_dy_combo,deterministic_mixed_doe_v0,130,70,85,135,0.75,0.75,0.25,0.25,0,-30,67.5,112.5,340,340,300,c-Si,Al2O3,,p2W + internal_dy perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p2w_dy_02,p2w_internal_dy_combo,deterministic_mixed_doe_v0,130,70,85,140,0.75,0.75,0.25,0.25,0,20,67.5,112.5,340,340,300,c-Si,Al2O3,,p2W + internal_dy perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p2w_dy_03,p2w_internal_dy_combo,deterministic_mixed_doe_v0,130,70,85,145,0.75,0.75,0.25,0.25,0,-20,67.5,112.5,340,340,300,c-Si,Al2O3,,p2W + internal_dy perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p2w_dy_04,p2w_internal_dy_combo,deterministic_mixed_doe_v0,130,70,85,155,0.75,0.75,0.25,0.25,0,30,67.5,112.5,340,340,300,c-Si,Al2O3,,p2W + internal_dy perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p2w_dy_05,p2w_internal_dy_combo,deterministic_mixed_doe_v0,130,70,85,160,0.75,0.75,0.25,0.25,0,-10,67.5,112.5,340,340,300,c-Si,Al2O3,,p2W + internal_dy perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p2w_dy_06,p2w_internal_dy_combo,deterministic_mixed_doe_v0,130,70,85,170,0.75,0.75,0.25,0.25,0,40,67.5,112.5,340,340,300,c-Si,Al2O3,,p2W + internal_dy perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p2w_01,p1l_p2w_combo,deterministic_mixed_doe_v0,115,70,85,160,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p2W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p2w_02,p1l_p2w_combo,deterministic_mixed_doe_v0,120,70,85,145,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p2W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p2w_03,p1l_p2w_combo,deterministic_mixed_doe_v0,125,70,85,170,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p2W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p2w_04,p1l_p2w_combo,deterministic_mixed_doe_v0,135,70,85,135,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p2W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p2w_05,p1l_p2w_combo,deterministic_mixed_doe_v0,145,70,85,155,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p2W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1l_p2w_06,p1l_p2w_combo,deterministic_mixed_doe_v0,150,70,85,130,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1L + p2W combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_dx_01,p1w_p2w_internal_dx_combo,deterministic_mixed_doe_v0,130,60,85,160,0.75,0.75,0.25,0.25,-30,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W + internal_dx combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_dx_02,p1w_p2w_internal_dx_combo,deterministic_mixed_doe_v0,130,65,85,145,0.75,0.75,0.25,0.25,30,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W + internal_dx combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_dx_03,p1w_p2w_internal_dx_combo,deterministic_mixed_doe_v0,130,75,85,170,0.75,0.75,0.25,0.25,-20,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W + internal_dx combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_dx_04,p1w_p2w_internal_dx_combo,deterministic_mixed_doe_v0,130,80,85,135,0.75,0.75,0.25,0.25,20,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W + internal_dx combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_dx_05,p1w_p2w_internal_dx_combo,deterministic_mixed_doe_v0,130,85,85,155,0.75,0.75,0.25,0.25,-40,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W + internal_dx combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_dx_06,p1w_p2w_internal_dx_combo,deterministic_mixed_doe_v0,130,90,85,140,0.75,0.75,0.25,0.25,40,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W + internal_dx combined perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_01,lhs_like_mixed_combo,deterministic_mixed_doe_v0,110,55,70,130,0.75,0.75,0.25,0.25,-40,30,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_02,lhs_like_mixed_combo,deterministic_mixed_doe_v0,115,80,95,165,0.75,0.75,0.25,0.25,20,-40,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_03,lhs_like_mixed_combo,deterministic_mixed_doe_v0,120,90,80,150,0.75,0.75,0.25,0.25,-10,10,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_04,lhs_like_mixed_combo,deterministic_mixed_doe_v0,125,60,105,140,0.75,0.75,0.25,0.25,40,-20,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_05,lhs_like_mixed_combo,deterministic_mixed_doe_v0,135,85,75,170,0.75,0.75,0.25,0.25,-20,40,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_06,lhs_like_mixed_combo,deterministic_mixed_doe_v0,140,65,100,135,0.75,0.75,0.25,0.25,30,0,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_07,lhs_like_mixed_combo,deterministic_mixed_doe_v0,145,75,90,155,0.75,0.75,0.25,0.25,0,-30,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_lhs_like_08,lhs_like_mixed_combo,deterministic_mixed_doe_v0,150,70,85,160,0.75,0.75,0.25,0.25,-30,20,67.5,112.5,340,340,300,c-Si,Al2O3,,deterministic Latin-hypercube-like mixed perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
